,label
100020,10
100167,17
100169,17
100324,6
100402,23
100403,17
100465,9
10062,18
10251,11
1037,17
106771,21
106948,12
106949,12
107304,9
109087,29
109091,30
1125,11
1126,11
1127,11
1180,29
130018,1
1384,17
1411,15
14360,18
14364,26
150212,21
150451,0
150452,0
150453,0
150454,0
150455,0
150456,0
150457,0
15104,24
15112,29
151356,27
15150,29
153218,26
153806,7
154089,21
155020,16
155126,6
155577,2
155633,0
155634,0
155912,16
15631,26
15642,21
157654,9
158372,15
158373,15
161342,15
161343,17
161389,17
161763,10
16219,17
162215,2
16229,15
163176,1
163177,1
163178,1
163179,1
163180,1
163181,1
163182,1
163297,4
163298,4
163299,7
163300,4
163301,4
163302,7
163303,4
163304,4
163305,7
163914,15
165469,0
165470,0
165471,0
165472,0
165473,0
165474,0
165475,0
165476,0
165477,0
165478,0
165479,0
165481,0
165482,0
165483,0
165484,0
165485,0
165486,0
165487,0
165488,0
165489,0
165490,0
165491,0
165492,0
165493,0
165579,17
16626,23
166547,17
16713,6
167141,22
167572,27
167573,3
167574,12
167585,27
16798,30
16800,30
168143,29
168144,29
168145,29
16926,27
16935,23
169799,26
169864,2
171366,4
171497,5
172043,16
172044,1
174202,15
174612,17
174613,17
174614,17
174615,17
174616,17
174617,17
180012,2
18004,16
180289,12
180318,5
180507,1
180730,27
18096,23
181261,13
18152,29
182026,3
182027,3
182028,3
182034,15
182035,15
182036,15
182959,24
182961,17
182963,29
183607,15
183684,15
183685,15
184230,15
184283,23
184284,23
184285,23
184286,23
184287,23
184288,23
184289,23
184290,23
184291,23
184292,23
185539,15
185540,15
186848,18
186849,29
186850,18
188493,23
188886,10
188887,10
190006,22
19023,26
19024,7
190773,31
191311,8
191528,15
191542,15
191891,26
192544,29
193032,4
193033,4
193034,4
193035,4
193036,4
193037,4
193038,4
193039,4
193040,4
193041,4
193441,8
193755,10
193768,5
193947,10
195182,15
196425,23
196807,21
20031,7
200369,13
200534,6
200980,11
200981,11
20208,17
202115,4
202116,26
202326,29
202538,4
202539,4
202631,17
202632,17
202897,2
20434,2
21032,18
21053,29
230105,8
23017,4
2319,7
23634,15
236888,15
236889,0
23723,17
23747,13
23748,6
237729,28
238600,17
238601,17
238602,23
238603,23
238685,15
238686,15
238687,15
238688,15
238689,15
238690,15
238691,15
238692,15
238693,15
23876,1
239000,23
239794,4
239962,26
2403,29
24051,11
240700,19
241234,17
241300,2
241301,6
241421,8
24143,2
241439,10
24146,5
241475,15
242170,10
243929,7
243972,10
244236,31
245527,26
245641,15
245934,17
245935,17
24600,21
246302,27
246816,23
246817,15
246859,4
247255,14
247256,14
247257,14
247258,14
248414,4
249872,5
249873,5
250066,17
250297,4
250460,2
2512,17
251594,26
252036,10
252037,9
252038,9
252039,10
252040,10
252041,9
252215,17
252226,16
253007,10
253056,15
25308,5
253338,16
253339,16
25349,11
253895,10
253896,10
254107,26
254406,10
254974,5
255464,26
255465,7
255466,7
255467,26
255468,7
25565,12
25566,12
255747,10
255748,10
255749,10
255750,10
25582,12
25583,12
25584,12
2559,2
256228,0
256229,0
257005,18
257006,18
257007,18
257008,18
257009,18
257010,18
257011,18
257012,18
257013,18
257014,18
257015,18
257016,18
257017,18
25705,13
257190,4
257439,26
257440,17
257464,12
25759,23
257739,7
257740,26
257946,10
257947,10
257948,9
25816,17
258187,14
258978,18
258979,2
259172,13
259200,14
259201,14
259202,14
259203,14
259204,14
259205,14
259206,14
259207,31
259208,14
259209,14
259210,14
259211,14
259212,14
259221,1
259898,12
260259,27
260280,4
261236,29
261238,18
261239,2
261302,15
261746,2
261825,4
262642,9
262643,9
26297,17
26298,5
263760,11
263761,11
263762,11
263763,11
263764,11
263765,11
263766,11
264211,4
264457,31
264522,15
264695,26
26472,9
26817,26
27007,15
27008,15
27128,2
281011,10
281277,5
28131,24
28192,23
290831,5
290832,9
291154,2
300010,1
30253,16
30276,26
30964,10
30982,24
30983,24
31050,17
31110,2
31148,24
31941,18
33506,27
33809,9
33810,9
33864,27
33896,21
33897,21
33898,21
33899,21
34095,1
34221,17
34670,1
35018,9
35168,23
35169,23
35182,16
35235,29
35236,2
35250,26
35290,10
35405,26
35429,29
36532,9
37071,26
37163,18
380104,28
380388,14
380389,14
380390,14
38324,26
38350,15
391200,4
391245,16
39596,22
39597,22
39814,23
400104,0
400460,13
402341,26
40245,26
40247,17
40265,24
40457,10
405346,29
409384,2
409636,28
409657,10
41022,23
41023,10
410714,16
410794,1
411039,0
41321,29
413238,17
413296,28
413299,28
413355,10
413587,1
414082,25
415120,10
415121,9
415135,18
415265,1
415266,1
415325,1
415326,1
415327,1
415328,1
415411,12
416656,19
416926,15
416927,15
416928,15
416929,15
417653,9
418488,14
418489,14
418490,14
418627,25
419137,12
419577,10
419669,1
419670,1
419671,1
419672,1
419673,1
419674,1
419675,1
420126,17
420334,20
420337,20
420338,20
42062,9
42063,22
420675,27
42068,5
421083,9
421130,14
421131,14
421209,14
421210,14
421252,14
421259,9
421479,12
421480,12
421481,12
421548,26
421549,7
422259,15
423635,9
423831,6
424834,9
424835,9
424911,27
425207,11
425865,22
426103,17
426198,23
426692,9
42697,27
427077,27
427426,11
428002,4
428547,26
428737,12
42890,22
429881,9
430497,9
430571,15
430574,23
430575,15
430576,15
430602,15
430603,23
430604,23
431128,2
431316,4
431359,4
431367,10
431368,10
431573,10
431620,1
431621,11
4317,26
432026,17
432318,4
432590,27
432591,4
433369,5
434755,27
44810,21
44900,21
47104,18
47143,17
47144,17
47145,10
48106,4
50058,17
50421,7
50422,7
50423,26
50578,5
50612,17
50950,26
50992,15
52775,22
53672,21
54394,21
54395,21
54858,16
55665,4
56443,9
56444,22
56445,22
57383,21
57414,21
57415,21
58,17
59243,4
59381,9
59640,17
59646,7
59647,7
60363,15
60774,10
610785,5
61086,10
61087,10
61204,26
614665,25
6169,17
62137,27
62300,7
62586,26
6269,4
63018,4
636886,12
636906,21
636910,21
638,17
642222,9
642236,21
642294,21
642296,21
642303,10
642372,5
642373,21
65025,4
65125,27
65126,26
65127,7
65175,27
65176,7
65177,23
65260,27
65445,26
655673,13
65643,17
657598,21
657599,21
657600,21
65930,1
660135,21
66941,6
66942,6
67226,16
67233,18
67234,27
67237,24
67238,26
67239,27
67359,5
67702,26
67703,26
67925,4
67991,7
68117,25
68118,25
68463,2
68494,15
68653,23
68924,29
69050,23
69076,26
69133,6
69967,7
71035,15
71058,27
71085,13
71238,23
71277,7
71431,27
72100,7
72422,18
72423,18
72648,2
72840,15
73200,27
73223,10
73275,12
73575,23
73835,29
73836,29
74863,27
74864,26
74865,26
74866,27
75164,15
75209,27
75210,27
75211,27
75212,27
75223,28
77095,17
78059,4
78158,23
78159,23
78326,17
78364,31
78513,7
78514,26
78819,9
78836,5
79098,26
79426,17
79427,17
79867,12
80398,2
80593,17
81249,23
8222,23
8237,4
8262,29
8280,17
82864,2
83379,13
83380,30
83652,26
83826,31
83985,30
84090,13
84092,13
84240,17
84449,22
85171,16
853,23
85713,14
85714,4
86184,26
86458,4
87408,9
87409,30
87596,4
88334,26
89535,13
90147,26
90148,31
90149,31
9082,27
90849,11
9105,6
91113,26
91810,0
92200,9
92250,26
92395,16
92571,26
92708,7
92842,23
93086,29
93087,29
93259,27
93486,23
94029,7
94030,7
94031,4
94565,6
94893,16
94894,2
94895,2
94896,2
94897,2
95379,31
95407,26
95606,12
95607,12
95649,5
95972,4
95980,4
95981,4
96224,9
96485,16
96509,31
97658,26
97659,26
97660,26
98140,12
98263,0
98265,0
99161,22
9923,2
99395,7
99396,7
99397,7
99398,7
99399,7
99400,0
99401,0
99402,7
99403,0
99503,23
9987,17
