,cif_id,avg_connect_v
1,153806,3.4361801147460938
2,155020,4.2957725524902335
18,53094,3.7999918460845943
21,56532,4.1409621238708505
29,96485,2.5736474990844727
32,96727,3.611769199371338
33,96728,3.8237619400024414
35,100004,3.220333337783813
36,100020,3.2490262985229488
37,100114,3.369499921798706
38,100167,3.0433714389801025
39,100169,3.1254999637603764
40,100324,3.000082969665528
42,100402,3.2660000324249268
43,100403,3.387399911880493
45,100465,3.389014720916748
48,100589,4.940000057220459
49,100590,4.914500236511231
50,100591,4.90749979019165
51,10062,2.9343364238739014
54,102014,3.026000022888184
58,10251,2.5125975608825684
59,10257,3.025514841079712
60,1037,2.5037999153137207
61,103786,4.306987285614014
63,104745,3.011399984359741
64,104761,2.984999895095825
65,10480,4.842641353607178
66,106771,2.866544008255005
67,106948,3.8073458671569824
68,106949,3.810739755630493
69,107304,4.7750983238220215
71,107954,4.376990795135498
72,108221,2.9679999351501465
74,108886,2.478622913360596
75,109087,3.0393574237823486
76,109091,3.2179195880889893
77,109389,4.780672073364258
82,1113,4.278770923614502
84,1125,4.148312568664552
85,1126,3.965879201889038
86,1127,3.92995810508728
87,1180,2.848959922790528
88,1243,2.8024582862854004
89,1258,3.0931000709533687
90,130018,4.313211441040038
91,1384,4.35237979888916
93,1411,2.9395642280578613
94,14235,4.0443363189697275
95,14344,2.5850000381469727
96,14360,3.0935423374176025
97,14364,4.9456658363342285
98,14377,2.5855000019073486
99,1485,3.485612630844116
100,150212,2.7778053283691406
105,150451,2.7397000789642334
106,150452,2.7425000667572017
107,150453,2.7453999519348145
108,150454,2.7498528957366943
109,150455,2.753999948501587
110,150456,2.7572767734527592
111,150457,2.761199951171875
112,150458,2.7636561393737797
113,15104,3.1705493927001958
115,15112,4.0898170471191415
117,151356,3.5320768356323238
118,15150,2.9970366954803467
123,151626,4.336555480957031
136,152086,4.193143367767334
137,152087,4.234862327575684
144,153218,2.9235999584198
147,154089,2.8687958717346187
151,154354,4.049227237701416
154,155126,2.698113441467285
156,155577,4.253831863403319
157,155633,4.581109046936035
158,155634,4.622853755950928
159,155912,3.875
160,155950,2.413325786590576
162,15631,3.2317583560943604
163,15642,3.375
167,156888,2.8557524681091313
168,156889,2.322521924972534
169,156890,2.855684757232666
170,156891,2.323007106781006
171,156892,2.8567416667938232
172,156893,2.325217962265014
173,156894,2.8600399494171143
174,156895,2.33046555519104
175,156896,2.862113237380981
176,156897,2.3335275650024414
177,156898,2.866320371627808
178,156899,2.339292287826538
179,156900,2.870152711868286
180,156901,2.3440604209899902
181,156902,2.87400484085083
182,156903,2.3487236499786377
183,157654,3.93009614944458
185,15787,3.61871600151062
186,15788,3.619639873504639
187,15789,3.6334962844848633
188,15790,3.6277804374694815
190,158372,2.5039141178131104
191,158373,2.508463144302368
194,159316,2.84653639793396
195,159510,4.038352966308594
202,161342,2.4638426303863525
203,161343,2.4709255695343018
204,161389,2.558516502380371
205,161432,2.926876783370972
216,161763,4.922231674194336
217,16219,2.4509735107421875
218,16221,2.8148422241210938
219,162215,4.186072826385498
220,16229,2.824700117111206
221,16231,2.243927478790283
222,162555,4.3064231872558585
225,16276,2.322000026702881
228,163176,4.2951765060424805
229,163177,4.297498226165772
230,163178,4.297498226165772
231,163179,4.297163963317871
232,163180,4.298150539398193
233,163181,4.298230171203613
234,163182,4.298120975494385
235,163297,3.0427086353302
236,163298,3.2549991607666016
237,163299,3.162243366241455
238,163300,2.998103618621826
239,163301,3.030817985534668
240,163302,3.0631322860717773
241,163303,2.9854097366333012
242,163304,3.023126602172852
243,163305,3.268330812454224
245,163906,3.2661261558532715
246,163907,3.359405517578125
247,163908,2.9366002082824707
248,163914,2.615684032440185
255,164158,2.9561986923217773
257,165469,2.7334675788879395
258,165470,2.7338759899139404
259,165471,2.73396897315979
260,165472,2.7361257076263428
261,165473,2.7374420166015625
262,165474,2.740488052368164
263,165475,2.743000030517578
264,165476,2.7455999851226807
265,165477,2.747999906539917
266,165478,2.7537055015563965
267,165479,2.7579779624938965
268,165480,2.760544776916504
269,165481,2.7395999431610107
270,165482,2.742000102996826
271,165483,2.7455999851226807
272,165484,2.75
273,165485,2.7576000690460205
274,165486,2.7616000175476074
275,165487,2.740488052368164
276,165488,2.742000102996826
277,165489,2.7455999851226807
278,165490,2.75
279,165491,2.753999948501587
280,165492,2.7576000690460205
281,165493,2.7616000175476074
282,165494,2.7626662254333496
283,165579,4.950178146362305
288,16568,3.0919077396392822
292,16626,3.0390865802764893
293,166547,3.308646440505981
294,166738,3.6243162155151367
295,166741,3.6243162155151367
299,16713,3.113587617874145
300,167141,2.611654281616211
302,167334,3.4985783100128174
303,167572,4.214977741241455
304,167573,4.202983379364014
305,167574,4.206520080566406
306,167575,2.532599925994873
307,167581,2.4988999366760254
308,167582,2.493799924850464
309,167583,2.504300117492676
310,167584,2.532500028610229
311,167585,4.18089771270752
312,16789,2.484999895095825
313,16790,3.4487011432647705
314,16793,2.875699758529663
315,16798,4.415316104888916
316,16799,2.7100145816802983
317,16800,4.614154815673828
318,168137,3.62085223197937
319,168139,3.6221802234649663
320,168141,3.6228728294372563
321,168142,3.624489545822144
322,168143,3.625701904296875
323,168144,3.6282999515533447
324,168145,3.628992795944214
326,16926,2.567790269851685
327,16935,2.7744548320770264
329,169799,4.487167835235597
330,169864,4.130286693572998
332,169866,3.619639873504639
333,170035,4.227367401123047
334,170036,3.06850004196167
338,171366,4.180407524108887
340,171496,3.184299945831299
341,171497,2.9796929359436035
342,171498,2.647266387939453
